"username","rating","review"
"Hafizh","5","Hasil rekomendasi yang sesuai dengan ekspektasi"
"Fildza Rafi","5","Rekomendasi yang diberikan sudah akurat dan sesuai dengan apa yang saya bayangkan"
"dika","5","keren, manhwa rekomendasinya sesuai"
"Yudha","5","rekomendasinya cukup baik bagi saya"
"Amadal","5","hasil rekomendasinya cocok"
"yoga","5","cukup membantu"
"superbhero","5","rekomendasi yang akurat"
"the_dut0","4","Mostly accurate"
"ranu","5","rekomendasinya cukup akurat"
"yiukhi","4","Helpful for browsing"
"nvm","3","too many repeats"
"starhoya","4","Mostly fine"
"liberration","4","I tried and its good"
"ren","5","Awesome!"
"ica","4","cukup membantu dalam mencari rekomendasi baru"
"mmdmd","5","cukup baik"
"nathan","5","Very accurate matches"
"nadin","5","Saya suka dengan rekomendasi yang diberikan"
"tika","4","rekomendasinya cukup baik"
"lilbordy","5","Amazing job!"
"ray","4","Good work."
"gia_paradise","3","Just okay."
"rizzzz","5","Saya mau versi manhwa manhua dan manga dong"
"ricebowl","4","nice"
"wine","5","Perfect"
"sidechar","4","-"
"anon","3","-"
"wgeqlenm","5","wonderful experience."
"qteks","4","Helpful for searching"
"optial","4","Worked fine."
"xx_tjo","4","Helpful for me"
"username123","4","Pretty good."
"nemo","5","Awesome mate"
"zwatgw","5","-"
"bored","3","Could be better."
"zukokicc","5","This site is gold."
"amigjn","4","Worked"
"klua","4","wrth to try"
"szenon","3","Somewhat useful."
"kauriz","4","worth enough"
"qwtzzz","3","Too many repeats."
"burhayam","3","OK"
"ghostwriter","3","Not what I hoped for."
"zjuotqs","3","Needs improvement."
"jqypng","4","good experience"
"4blvjn","4","Pretty good."
"bacon","3","its not good enough, u better improve this"
"chickenreap","4","4 stars from me."
"rijkfox","3","Not what I hoped for."
"niyuu","5","very good experience."
"dhuc","5","-"
"mitashi","5","This site is gold."
"piri","4"," accurate enough"
"ciccine","4","Mostly good."
"passnico","4","rekomendasinya bagus"
"kyede","5","saya suka rekomendasi yang ada"
"vaing","5","Love the interface."
"viking","5","I keep coming back!"
"dede","4","cukup keren"
"hephep","5","Perfect for us to get new smiliar manhwa"
"mehhh","3","-"
"lebron","3","not good enough "
"faddid","3","Could be better than this"
"kaxchgl","5","keep the good work"
"taurusgl","4","Good work."
"wiklhos","4","cukup baik"
"benzz","4","Not bad at all."
"eraline","4","Not bad"
"demskkuy","4","-"
"blck8s","4","I think this was fine enough"
"winnr","5","saya merasa terbantu, terimakasih"
"malsway","4","Nice effort."
"meeoww","5","I love it"
"someone","5","10/10 experience"
"angintopan","5","tolong tambah tampilan yang lucu"
"udkme","3","Needs improvement."
"aerins","5","ngebantu banget"
"lutestrike","4","OK"
"haoto","4","Most picks were solid"
"david","4","membantu dalam mencari referensi "
"booox","4","Pretty good."
"d7x6yzp04k5e","3","Somewhat useful."
"v3d_mczz","4","Pretty good."
"biubt","4","4 stars from me."
"kimbabguy","5","I keep coming back again and again"
"stardust","5","goodjob, tapi ada judul yang tidak bisa ditemukan"
"ipog1","5","Amazing job!"
"tyfhaiy","5","Super helpful, thanks!"
"masjoe","4","-"
"faya","3","Could be better, add some guide for users"
"yuds","4","sudah cukup baik untuk penelitian"
"7sbw_xf","3","meh"
"appjanu","5","saya suka webnya"
"kimch","5","Super helpful"
"josh","5","Awesome bro"
"giuhse46","5","helpful"
"dido","5","sangat membantu"
"jiot","4","helps me enough"
"adzn","4","saya suka rekomendasinya"
"wl4zu1exz","4","Nice effort."
"bombeach","5","Perfect recommendations!"
"fo0utmgwtbgo","3","OK, but the interface is boring"
"mcmany","4","good for me"
"jzkal9706","4","-"
"siva","4","great"
"fartgig","4","Worked fine enough"
"serhjt","3","the app not working"
"9b4hbzk2","4","Helpful"
"nexus","4","Pretty good."
"echo","4","I like it"
"cloudrider","4","-"
"anon","4","nice job"
"stargazer","5","I think im gonna coming back"
"galang","5","rekomendasinya cukup OK, makasihh"
"betaname","5","Love the experience"
"Alphawolf","5","its great to using this website"
"swtpotato","4","accurate for me who is new to the manhwa things"
"loena","4","rekomendasinya cukup baik"
"kaoz","4","Most picks were solid to be receommended"
"urpel","5","terimakasih, saya merasa terbantu"
